"","Discipline","Description of Finding","Original Report","Replication Report"
"...1","Social Psychology","Heat-Priming is associated with increased hostile perceptions","DeWall, C. N., & Bushman, B. J. (2009). Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions. Journal of Experimental Social Psychology, 45(4), 1045-1047.","McCarthy, R. J. (2014, March 8). The Effect of ""Heat-Priming"" on Hostile Perceptions. https://doi.org/10.17605/OSF.IO/XSZK6 "
"...2","Social Psychology","Heat-Priming is associated with increased hostile perceptions","DeWall, C. N., & Bushman, B. J. (2009). Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions. Journal of Experimental Social Psychology, 45(4), 1045-1047.","McCarthy, R. J. (2014, March 15). A Priori Hypotheses and Pre-Specified Analyses. https://doi.org/10.17605/OSF.IO/W4DIP "
"...3","Social Psychology","Color red increases attractiveness ratings","Elliot, A. J., Niesta Kayser, D., Greitemeyer, T., Lichtenfeld, S., Gramzow, R. H., Maier, M. A., & Lu, H. (2010). Red, rank, and romance in women viewing men. Journal of Experimental Psychology: General, 139(3), 399–417. DOI: https://doi.org/10.1037/ a0019689","Banas, K. (2014, June 17). Replication of Elliot et al.  (2010) for CREP at the University of Edinburgh. https://doi.org/10.17605/OSF.IO/DQV9Y "
"...4","Social Psychology","Weight as an embodiment of importance","Jostmann, N. B., Lakens, D., & Schubert, T. W. (2009). Weight as an embodiment of importance. Psychological science, 20(9), 1169-1174.","Djordjević, S., & IJzerman, H. (2015, March 7). Weight as an Embodiment of Importance: Replications and Extensions. https://doi.org/10.17605/OSF.IO/RTN9S "
"...6",NA,"Causal Attributions From Genetic Ascriptions Affect Legal Decision Making","Cheung, B. Y., & Heine, S. J. (2015). The double-edged sword of genetic accounts of criminality: Causal attributions from genetic ascriptions affect legal decision making. Personality and Social Psychology Bulletin, 41(12), 1723-1738. Study 3","Crawford, J. (2016, May 2). Syntax and output files for Cheung & Heine 2015 study 3 replication. https://doi.org/10.17605/OSF.IO/E9D3K "
"...31",NA,"","Cunningham, W. A., Van Bavel, J. J., & Johnsen, I. R. (2008). Affective flexibility: evaluative processing goals shape amygdala activity. Psychological Science, 19(2), 152-160.","McRae, K., & Lumian, D. S. (2023, September 28). Replication of WA Cunningham, JJ Van Bavel, IR Johnsen  (2008, PS 19 (2)). https://doi.org/10.17605/OSF.IO/2ZGF9"
"...33",NA,"Evaluative Processing Goals Shape Amygdala Activity","Cunningham, W. A., Van Bavel, J. J., & Johnsen, I. R. (2008). Affective flexibility: evaluative processing goals shape amygdala activity. Psychological Science, 19(2), 152-160.","McRae, K., Lumian, D. S., &  T. (2023, September 28). Data. https://doi.org/10.17605/OSF.IO/BTH36"
"...34",NA,"evaluative processing goals shape amygdala activity","Cunningham, W. A., Van Bavel, J. J., & Johnsen, I. R. (2008). Affective flexibility: evaluative processing goals shape amygdala activity. Psychological Science, 19(2), 152-160.","McRae, K., Lumian, D. S., &  T. (2023, September 28). Materials. https://doi.org/10.17605/OSF.IO/7VGKQ"
"...39",NA,"Contrastive Knowledge Surveyed","Schaffer, J., & Knobe, J. (2012). Contrastive knowledge surveyed. Noûs, 46(4), 675-708.","Wilkenfeld, D. A., & Hernández-Conde, J. V. (2017, September 12). Schaffer and Knobe Replication. https://doi.org/10.17605/OSF.IO/39XUW"
"...40",NA,"Unifying visual space across the right and left hemifields",NA,"Chen, Z. (2017, December 16). Unifying visual space across the right and left hemifields. https://doi.org/10.17605/OSF.IO/VJACN"
"...41",NA,"A dual-process perspective on how sexual experiences shape automatic versus explicit relationship satisfaction",NA,"McNulty, J. K. (2018, January 30). A dual-process perspective on how sexual experiences shape automatic versus explicit relationship satisfaction: Reply to Brody, Costa, Klapilova, and Weiss. https://doi.org/10.17605/OSF.IO/6S3JP"
"...42",NA,"human performance",NA,"Zhi, K. T. C., Kiat, T. R., Jeng, C., Xiang, Y. Y., & BAODONG, O. (2018, February 23). Replication of Pelt, van der Linden, & Born  (2017, Human Performance). https://doi.org/10.17605/OSF.IO/MF5R7"
